Symbol,Trade DATE,NOCP
LMT,6/13/2022,423.93
LMT,6/14/2022,416.17
LMT,6/15/2022,414.1
LMT,6/16/2022,404.79
LMT,6/17/2022,404.01
LMT,6/21/2022,418.96
LMT,6/22/2022,415.45
LMT,6/23/2022,410.62
LMT,6/24/2022,419.04
LMT,6/27/2022,419.25
LMT,6/28/2022,420.71
LMT,6/29/2022,418.89
LMT,6/30/2022,429.96
LMT,7/1/2022,433.52
LMT,7/5/2022,415.25
LMT,7/6/2022,425.89
LMT,7/7/2022,422.19
LMT,7/8/2022,420.35
LMT,7/11/2022,419.07
LMT,7/12/2022,413.99
LMT,7/13/2022,408
LMT,7/14/2022,400.31
LMT,7/15/2022,398.38
LMT,7/18/2022,387.28
LMT,7/19/2022,390.38
LMT,7/20/2022,395.22
LMT,7/21/2022,395.2
LMT,7/22/2022,394.74
LMT,7/25/2022,399.8
LMT,7/26/2022,396.81
LMT,7/27/2022,398.54
LMT,7/28/2022,406.08
LMT,7/29/2022,413.81
LMT,8/1/2022,419.28
LMT,8/2/2022,428.78
LMT,8/3/2022,429.3
LMT,8/4/2022,428.13
LMT,8/5/2022,426.41
